Date;Open;High;Low;Close;Adj Close;Volume;Delta_Open_Close;Delta_High_Low;Period;description;Sum Monat
2006-01-31;12.56;12.59;12.41;12.57;10.228684;53373600;-0.009999999999999787;0.17999999999999972;01-2006;Down;12.57
2006-02-01;12.41;12.65;12.39;12.58;10.236822;54206000;-0.16999999999999993;0.2599999999999998;02-2006;Down;12.444736842105263
2006-02-02;12.54;12.58;12.36;12.39;10.082215;41926000;0.14999999999999858;0.22000000000000064;02-2006;Up;12.444736842105263
2006-02-03;12.3;12.38;12.18;12.21;9.93574;63619900;0.08999999999999986;0.20000000000000107;02-2006;Up;12.444736842105263
2006-02-06;12.22;12.29;12.06;12.25;9.968291;61768000;-0.02999999999999936;0.22999999999999865;02-2006;Down;12.444736842105263
2006-02-07;12.23;12.39;12.21;12.37;10.065938;51162700;-0.1399999999999988;0.17999999999999972;02-2006;Down;12.444736842105263
2006-02-08;12.44;12.63;12.44;12.57;10.228684;54270900;-0.13000000000000078;0.19000000000000128;02-2006;Down;12.444736842105263
2006-02-09;12.56;12.8;12.46;12.69;10.326333;107351900;-0.129999999999999;0.33999999999999986;02-2006;Down;12.444736842105263
2006-02-10;12.58;12.8;12.56;12.69;10.326333;59674100;-0.10999999999999943;0.2400000000000002;02-2006;Down;12.444736842105263
2006-02-13;12.64;12.72;12.4;12.49;10.163586;37636000;0.15000000000000036;0.3200000000000003;02-2006;Up;12.444736842105263
2006-02-14;12.48;12.49;12.35;12.4;10.090348;47912300;0.08000000000000007;0.14000000000000057;02-2006;Up;12.444736842105263
2006-02-15;12.37;12.5;12.35;12.41;10.098489;37630400;-0.040000000000000924;0.15000000000000036;02-2006;Down;12.444736842105263
2006-02-16;12.42;12.49;12.36;12.44;10.122899;29399100;-0.019999999999999574;0.13000000000000078;02-2006;Down;12.444736842105263
2006-02-17;12.38;12.44;12.32;12.4;10.090348;35536000;-0.019999999999999574;0.11999999999999922;02-2006;Down;12.444736842105263
2006-02-21;12.35;12.38;12.25;12.34;10.041524;41343600;0.009999999999999787;0.13000000000000078;02-2006;Up;12.444736842105263
2006-02-22;12.36;12.49;12.28;12.48;10.155447;40641000;-0.120000000000001;0.21000000000000085;02-2006;Down;12.444736842105263
2006-02-23;12.44;12.54;12.4;12.4;10.090348;39913300;0.03999999999999915;0.1399999999999988;02-2006;Up;12.444736842105263
2006-02-24;12.39;12.49;12.38;12.46;10.139177;31299300;-0.07000000000000028;0.10999999999999943;02-2006;Down;12.444736842105263
2006-02-27;12.44;12.51;12.36;12.46;10.139177;38585600;-0.02000000000000135;0.15000000000000036;02-2006;Down;12.444736842105263
2006-02-28;12.42;12.58;12.39;12.42;10.106624;43399200;0.0;0.1899999999999995;02-2006;Down;12.444736842105263
2006-03-01;12.49;12.83;12.49;12.81;10.423985;72471500;-0.3200000000000003;0.33999999999999986;03-2006;Down;13.321304347826086
2006-03-02;12.75;12.92;12.68;12.8;10.415844;63229200;-0.05000000000000071;0.2400000000000002;03-2006;Down;13.321304347826086
2006-03-03;12.63;12.93;12.61;12.79;10.407706;52363900;-0.15999999999999837;0.3200000000000003;03-2006;Down;13.321304347826086
2006-03-06;12.75;12.96;12.73;12.77;10.391436;48553100;-0.019999999999999574;0.23000000000000043;03-2006;Down;13.321304347826086
2006-03-07;12.74;12.92;12.72;12.88;10.480945;36177700;-0.14000000000000057;0.1999999999999993;03-2006;Down;13.321304347826086
2006-03-08;12.81;12.95;12.75;12.86;10.464667;38942500;-0.049999999999998934;0.1999999999999993;03-2006;Down;13.321304347826086
2006-03-09;12.9;13.0;12.82;12.84;10.448394;48773800;0.0600000000000005;0.17999999999999972;03-2006;Up;13.321304347826086
2006-03-10;12.88;13.0;12.84;12.9;10.497221;38438000;-0.019999999999999574;0.16000000000000014;03-2006;Down;13.321304347826086
2006-03-13;12.92;12.95;12.85;12.9;10.497221;24297100;0.019999999999999574;0.09999999999999964;03-2006;Up;13.321304347826086
2006-03-14;12.91;12.98;12.87;12.96;10.546044;44498300;-0.05000000000000071;0.11000000000000121;03-2006;Down;13.321304347826086
2006-03-15;12.94;13.32;12.9;13.24;10.77389;76106900;-0.3000000000000007;0.41999999999999993;03-2006;Down;13.321304347826086
2006-03-16;13.34;13.54;13.27;13.5;10.985464;81957200;-0.16000000000000014;0.2699999999999996;03-2006;Down;13.321304347826086
2006-03-17;13.54;13.72;13.42;13.6;11.066832;70639000;-0.0600000000000005;0.3000000000000007;03-2006;Down;13.321304347826086
2006-03-20;13.66;13.87;13.57;13.72;11.164488;123796300;-0.0600000000000005;0.29999999999999893;03-2006;Down;13.321304347826086
2006-03-21;13.34;13.9;13.22;13.62;11.08311;144515800;-0.27999999999999936;0.6799999999999997;03-2006;Down;13.321304347826086
2006-03-22;13.57;14.0;13.55;13.99;11.384192;83106300;-0.41999999999999993;0.4499999999999993;03-2006;Down;13.321304347826086
2006-03-23;13.91;13.99;13.73;13.8;11.229585;51106100;0.10999999999999943;0.2599999999999998;03-2006;Up;13.321304347826086
2006-03-24;13.78;13.83;13.72;13.79;11.221449;35174400;-0.009999999999999787;0.10999999999999943;03-2006;Down;13.321304347826086
2006-03-27;13.83;13.94;13.77;13.84;11.262133;36646600;-0.009999999999999787;0.16999999999999993;03-2006;Down;13.321304347826086
2006-03-28;13.83;13.85;13.57;13.59;11.058699;47533800;0.2400000000000002;0.27999999999999936;03-2006;Up;13.321304347826086
