Date,Open,High,Low,Close,Adj Close,Volume
2006-01-31,12.560000,12.590000,12.410000,12.570000,10.228684,53373600
2006-02-01,12.410000,12.650000,12.390000,12.580000,10.236822,54206000
2006-02-02,12.540000,12.580000,12.360000,12.390000,10.082215,41926000
2006-02-03,12.300000,12.380000,12.180000,12.210000,9.935740,63619900
2006-02-06,12.220000,12.290000,12.060000,12.250000,9.968291,61768000
2006-02-07,12.230000,12.390000,12.210000,12.370000,10.065938,51162700
2006-02-08,12.440000,12.630000,12.440000,12.570000,10.228684,54270900
2006-02-09,12.560000,12.800000,12.460000,12.690000,10.326333,107351900
2006-02-10,12.580000,12.800000,12.560000,12.690000,10.326333,59674100
2006-02-13,12.640000,12.720000,12.400000,12.490000,10.163586,37636000
2006-02-14,12.480000,12.490000,12.350000,12.400000,10.090348,47912300
2006-02-15,12.370000,12.500000,12.350000,12.410000,10.098489,37630400
2006-02-16,12.420000,12.490000,12.360000,12.440000,10.122899,29399100
2006-02-17,12.380000,12.440000,12.320000,12.400000,10.090348,35536000
2006-02-21,12.350000,12.380000,12.250000,12.340000,10.041524,41343600
2006-02-22,12.360000,12.490000,12.280000,12.480000,10.155447,40641000
2006-02-23,12.440000,12.540000,12.400000,12.400000,10.090348,39913300
2006-02-24,12.390000,12.490000,12.380000,12.460000,10.139177,31299300
2006-02-27,12.440000,12.510000,12.360000,12.460000,10.139177,38585600
2006-02-28,12.420000,12.580000,12.390000,12.420000,10.106624,43399200
2006-03-01,12.490000,12.830000,12.490000,12.810000,10.423985,72471500
2006-03-02,12.750000,12.920000,12.680000,12.800000,10.415844,63229200
2006-03-03,12.630000,12.930000,12.610000,12.790000,10.407706,52363900
2006-03-06,12.750000,12.960000,12.730000,12.770000,10.391436,48553100
2006-03-07,12.740000,12.920000,12.720000,12.880000,10.480945,36177700
2006-03-08,12.810000,12.950000,12.750000,12.860000,10.464667,38942500
2006-03-09,12.900000,13.000000,12.820000,12.840000,10.448394,48773800
2006-03-10,12.880000,13.000000,12.840000,12.900000,10.497221,38438000
2006-03-13,12.920000,12.950000,12.850000,12.900000,10.497221,24297100
2006-03-14,12.910000,12.980000,12.870000,12.960000,10.546044,44498300
2006-03-15,12.940000,13.320000,12.900000,13.240000,10.773890,76106900
2006-03-16,13.340000,13.540000,13.270000,13.500000,10.985464,81957200
2006-03-17,13.540000,13.720000,13.420000,13.600000,11.066832,70639000
2006-03-20,13.660000,13.870000,13.570000,13.720000,11.164488,123796300
2006-03-21,13.340000,13.900000,13.220000,13.620000,11.083110,144515800
2006-03-22,13.570000,14.000000,13.550000,13.990000,11.384192,83106300
2006-03-23,13.910000,13.990000,13.730000,13.800000,11.229585,51106100
2006-03-24,13.780000,13.830000,13.720000,13.790000,11.221449,35174400
2006-03-27,13.830000,13.940000,13.770000,13.840000,11.262133,36646600
2006-03-28,13.830000,13.850000,13.570000,13.590000,11.058699,47533800
2006-03-29,13.590000,13.810000,13.430000,13.720000,11.164488,55889400
2006-03-30,13.720000,13.850000,13.640000,13.780000,11.213310,50501000
2006-03-31,13.710000,13.850000,13.690000,13.690000,11.140070,33305800
2006-04-03,13.750000,13.860000,13.750000,13.790000,11.221449,26912300
2006-04-04,13.820000,13.910000,13.780000,13.840000,11.262133,30831800
2006-04-05,13.820000,14.000000,13.810000,13.950000,11.351645,70984700
2006-04-06,13.960000,13.960000,13.740000,13.800000,11.229585,32788400
2006-04-07,13.830000,13.910000,13.720000,13.750000,11.188897,29517200
2006-04-10,13.730000,13.850000,13.620000,13.830000,11.253995,28928600
2006-04-11,13.830000,14.000000,13.720000,13.840000,11.262133,44219500
2006-04-12,13.840000,13.900000,13.730000,13.780000,11.213310,29217300
2006-04-13,13.750000,13.770000,13.660000,13.680000,11.131936,29693900
2006-04-17,13.660000,13.830000,13.650000,13.740000,11.180757,28970700
2006-04-18,13.700000,14.010000,13.690000,14.000000,11.392333,41113900
2006-04-19,13.840000,14.340000,13.810000,14.310000,11.644589,58050400
2006-04-20,14.160000,14.310000,14.100000,14.150000,11.514391,32815300
2006-04-21,14.160000,14.450000,14.150000,14.280000,11.620177,56187800
2006-04-24,14.230000,14.670000,14.190000,14.480000,11.782923,61354000
2006-04-25,14.560000,14.830000,14.550000,14.650000,11.921260,58690000
2006-04-26,14.700000,14.740000,14.620000,14.720000,11.978224,47345900
2006-04-27,14.680000,15.210000,14.550000,14.930000,12.149110,108692600
2006-04-28,14.890000,14.950000,14.520000,14.590000,11.872440,67677500
2006-05-01,14.610000,14.960000,14.430000,14.580000,11.864301,41422900
2006-05-02,14.560000,14.580000,14.380000,14.430000,11.742237,29045900
2006-05-03,14.370000,14.490000,14.070000,14.320000,11.652725,40839600
2006-05-04,14.380000,14.470000,14.210000,14.290000,11.628318,21837400
2006-05-05,14.300000,14.570000,14.280000,14.450000,11.758514,26398600
2006-05-08,14.430000,14.550000,14.170000,14.230000,11.579491,29683000
2006-05-09,14.220000,14.280000,14.050000,14.110000,11.481842,21975400
2006-05-10,14.070000,14.370000,14.060000,14.240000,11.587627,23581800
2006-05-11,14.190000,14.280000,13.800000,13.910000,11.319094,31474100
2006-05-12,13.740000,14.220000,13.540000,13.980000,11.376056,39924500
2006-05-15,13.830000,14.030000,13.800000,13.970000,11.367919,26079100
2006-05-16,13.910000,14.220000,13.870000,14.190000,11.546945,42273300
2006-05-17,14.080000,14.110000,13.750000,13.850000,11.270273,47984500
2006-05-18,13.930000,13.990000,13.280000,13.770000,11.205174,46897500
2006-05-19,13.610000,13.930000,13.560000,13.700000,11.148211,46390200
2006-05-22,13.530000,13.720000,13.500000,13.550000,11.026152,29426200
2006-05-23,13.560000,13.640000,13.440000,13.470000,10.961049,27182500
2006-05-24,13.380000,13.870000,13.360000,13.780000,11.213310,32985200
2006-05-25,13.760000,14.110000,13.700000,14.070000,11.449294,37154800
2006-05-26,14.050000,14.180000,13.920000,14.050000,11.433018,18672500
2006-05-30,14.000000,14.190000,13.880000,14.020000,11.408610,26323900
2006-05-31,14.010000,14.250000,13.970000,14.220000,11.571354,34272800
2006-06-01,14.140000,14.240000,13.960000,14.220000,11.571354,37626100
2006-06-02,14.220000,14.280000,14.040000,14.150000,11.514391,22929600
2006-06-05,14.050000,14.110000,13.860000,13.860000,11.278406,22489500
2006-06-06,13.980000,14.000000,13.600000,13.820000,11.245857,31295500
2006-06-07,13.860000,13.880000,13.500000,13.540000,11.018011,30404500
2006-06-08,13.450000,13.590000,13.200000,13.530000,11.009873,50882600
2006-06-09,13.490000,13.540000,13.330000,13.470000,10.961049,26740100
2006-06-12,13.460000,13.580000,13.220000,13.250000,10.782028,36625600
2006-06-13,13.270000,13.540000,13.100000,13.150000,10.700655,36410300
2006-06-14,13.150000,13.290000,13.070000,13.190000,10.733203,27433700
2006-06-15,13.330000,13.840000,13.300000,13.700000,11.148211,47881400
2006-06-16,14.470000,14.920000,14.090000,14.190000,11.546945,115901400
2006-06-19,14.350000,14.560000,14.180000,14.290000,11.628318,35603700
2006-06-20,14.420000,14.480000,14.230000,14.250000,11.595766,29998100
2006-06-21,14.290000,14.900000,14.280000,14.530000,11.823616,58342800
2006-06-22,14.620000,14.700000,14.250000,14.330000,11.660866,48936300
2006-06-23,14.680000,15.070000,14.540000,14.900000,12.124694,72620900
2006-06-26,14.870000,14.930000,14.520000,14.670000,11.937535,32602300
2006-06-27,14.610000,14.670000,14.330000,14.500000,11.799202,41863600
2006-06-28,14.500000,14.630000,14.490000,14.580000,11.864301,25331900
2006-06-29,14.610000,14.860000,14.400000,14.740000,11.994497,52383700
2006-06-30,14.770000,14.970000,14.490000,14.490000,11.791064,49491600
2006-07-03,14.610000,14.810000,14.610000,14.810000,12.051459,16969500
2006-07-05,14.630000,14.770000,14.550000,14.570000,11.856160,29529100
2006-07-06,14.520000,14.640000,14.430000,14.500000,11.799202,28736300
2006-07-07,14.500000,14.980000,14.420000,14.780000,12.027048,53231000
2006-07-10,14.780000,14.980000,14.400000,14.590000,11.872440,32810500
2006-07-11,14.470000,14.580000,14.290000,14.540000,11.831753,35140800
2006-07-12,14.510000,14.590000,14.150000,14.220000,11.571354,26652400
2006-07-13,13.880000,14.270000,13.770000,14.100000,11.473708,52970500
2006-07-14,14.050000,14.390000,13.930000,14.290000,11.628318,40051300
2006-07-17,14.240000,14.470000,14.220000,14.420000,11.734100,32459300
2006-07-18,14.390000,14.810000,14.350000,14.720000,11.978224,52405400
2006-07-19,14.810000,15.210000,14.730000,15.070000,12.263030,66918900
2006-07-20,15.060000,15.240000,14.910000,15.120000,12.303718,48545800
2006-07-21,15.030000,15.290000,14.960000,15.120000,12.303718,57164900
2006-07-24,15.080000,15.170000,14.920000,14.980000,12.189795,47729400
2006-07-25,14.930000,15.060000,14.800000,14.930000,12.149110,36945500
2006-07-26,14.940000,15.190000,14.760000,15.020000,12.222345,35836600
2006-07-27,15.080000,15.190000,14.790000,14.870000,12.100281,37199200
2006-07-28,14.930000,15.120000,14.850000,15.070000,12.263030,25837300
2006-07-31,14.930000,15.030000,14.820000,14.970000,12.181657,35173100
2006-08-01,14.900000,14.940000,14.550000,14.730000,11.986360,33903300
2006-08-02,14.700000,14.940000,14.550000,14.810000,12.051459,33423700
2006-08-03,14.800000,15.030000,14.730000,14.770000,12.018910,31820900
2006-08-04,14.840000,14.870000,14.490000,14.620000,11.896847,35927100
2006-08-07,14.640000,14.690000,14.500000,14.620000,11.896847,31683300
2006-08-08,14.660000,15.000000,14.660000,14.800000,12.043324,42021300
2006-08-09,14.950000,15.250000,14.850000,14.950000,12.165382,50604600
2006-08-10,14.880000,15.270000,14.860000,15.130000,12.311853,34394400
2006-08-11,15.100000,15.160000,14.890000,14.990000,12.197929,19315000
2006-08-14,15.110000,15.500000,15.060000,15.290000,12.442054,36319700
2006-08-15,15.470000,15.750000,15.430000,15.720000,12.791961,47767900
2006-08-16,15.740000,15.750000,15.410000,15.540000,12.645490,49609300
2006-08-17,15.420000,15.950000,15.410000,15.810000,12.865196,46413400
2006-08-18,15.760000,15.810000,15.400000,15.710000,12.783825,33126400
2006-08-21,15.590000,15.790000,15.450000,15.640000,12.726867,28275800
2006-08-22,15.630000,15.650000,15.370000,15.480000,12.596660,39584700
2006-08-23,15.480000,15.490000,15.230000,15.320000,12.466465,37833800
2006-08-24,15.390000,15.500000,15.230000,15.380000,12.515287,41883900
2006-08-25,15.360000,15.630000,15.310000,15.410000,12.539701,28897000
2006-08-28,15.420000,15.650000,15.360000,15.540000,12.645490,28113600
2006-08-29,15.530000,15.640000,15.400000,15.520000,12.629218,28281400
2006-08-30,15.560000,15.830000,15.500000,15.760000,12.824514,27305200
2006-08-31,15.680000,15.750000,15.500000,15.660000,12.743134,27549200
2006-09-01,15.800000,15.830000,15.450000,15.500000,12.612940,24599100
2006-09-05,15.600000,15.890000,15.590000,15.840000,12.889608,40291700
2006-09-06,15.680000,15.810000,15.570000,15.620000,12.710590,44824300
2006-09-07,15.640000,16.200001,15.580000,16.010000,13.027948,77357700
2006-09-08,16.049999,16.180000,15.760000,15.910000,12.946570,46528300
